year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Hyundai,Accent,GS,Hatchback,manual,kmhct5ae8du091850,ca,47,15813,green,black,jpmorgan chase bank n.a.,10500,9500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0dm711549,ca,42,23470,black,black,nissan infiniti lt,22800,24500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap3dm710234,ca,43,29782,gray,black,nissan infiniti lt,22100,21500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap3dm710394,ca,39,10993,blue,black,nissan infiniti lt,24400,24250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7dm710365,ca,45,18921,gray,black,nissan infiniti lt,23400,21750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Tucson,Limited,SUV,automatic,km8ju3ac6du590752,ca,44,32413,white,beige,hyundai motor america/co car,16150,17500,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,kmhec4a46da099621,ca,5,20,silver,gray,hyundai motor america/co car,20300,19900,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0dm712653,ca,44,32437,white,black,nissan infiniti lt,22000,20500,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae5dh363852,ca,35,38388,gray,gray,enterprise vehicle exchange/orange,11350,11700,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4aexdu731797,ca,4,21579,black,gray,hyundai motor finance,12350,12600,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
